custom_name,prep,usda_id,usda_description
"Сіль",raw,02047,"Salt, table"
"Апельсини",raw,09205,"Oranges, raw, with peel"
"Зелена квасоля",raw,11052,"Beans, snap, green, raw"
"Насіння соняшника",raw,12036,"Seeds, sunflower seed kernels, dried"
"Насіння гарбуза",raw,12163,"Seeds, pumpkin and squash seeds, whole, roasted, without salt"
"Грецький горіх",raw,12155,"Nuts, walnuts, english"
"Пластівці вівсяні",raw,08640,"Cereals, QUAKER, Instant Oatmeal Organic, Regular"
"Гриби білі",raw,11938,"Mushroom, white, exposed to ultraviolet light, raw"
"Гриби печериці",raw,11998,"Mushrooms, portabella, exposed to ultraviolet light, raw"
"Інжир",raw,09094,"Figs, dried, uncooked"
"Редиска",raw,11429,"Radishes, raw"
"Помідори",raw,11529,"Tomatoes, red, ripe, raw, year round average"
"Перець солодкий",raw,11821,"Peppers, sweet, red, raw"
"Перець гострий",raw,11819,"Peppers, hot chili, red, raw"
"Часник",raw,11215,"Garlic, raw"
"Петрушка",raw,11297,"Parsley, fresh"
"Кріп",raw,02045,"Dill weed, fresh"
"Оселедець",raw,15236,"Fish, herring, Atlantic, raw"
"Сардина в олії",canned,15088,"Fish, sardine, Atlantic, canned in oil, drained solids with bone"
"Сардина в томаті",canned,15089,"Fish, sardine, Pacific, canned in tomato sauce, drained solids with bone"