name_prep,gain,loss,coeff
Рис (без обробки),,,1.000
Рис (варіння),2.77,,0.361
Хліб пшеничний (без обробки),,,1.000
Хліб житній (без обробки),,,1.000
Яловичина (без обробки),,,1.000
Яловичина (варіння),,38%,1.613
Яловичина (смаження),,36%,1.563
Свинина (без обробки),,,1.000
Свинина (варіння),,40%,1.667
Свинина (смаження),,32%,1.471
Птиця (без обробки),,,1.000
Птиця (варіння),,25%,1.333
Птиця (смаження),,35%,1.538
Сало (без обробки),,,1.000
Сало (смаження),,40%,1.667
Борошно пшеничне (без обробки),,,1.000
Макаронні вироби (без обробки),,,1.000
Макаронні вироби (варіння),2.35,,0.426
Крупи гречані (без обробки),,,1.000
Крупи гречані (варіння),3.73,,0.268
Ковбаси (без обробки),,,1.000
Молоко (без обробки),,,1.000
Сметана (без обробки),,,1.000
Масло вершкове (без обробки),,,1.000
Сир м'який (без обробки),,,1.000
Цукор (без обробки),,,1.000
Олія соняшникова (без обробки),,,1.000
Яйця (без обробки),,,1.000
Яйця (варіння),,0,1.000
Яйця (смаження),,25%,1.333
Картопля (без обробки),,,1.000
Картопля (варіння),,17%,1.205
Картопля (смаження),,31%,1.449
Капуста (без обробки),,,1.000
Капуста (варіння),,8%,1.087
Морква (без обробки),,,1.000
Морква (варіння),,0.50%,1.005
Буряк (без обробки),,,1.000
Буряк (варіння),,5%,1.053
Цибуля (без обробки),,,1.000
Цибуля (варіння),,26%,1.351
Сіль (без обробки),,,1.000
Апельсини (без обробки),,,1.000
Зелена квасоля (без обробки),,,1.000
Насіння соняшника (без обробки),,,1.000
Насіння гарбуза (без обробки),,,1.000
Грецький горіх (без обробки),,,1.000
Пластівці вівсяні (без обробки),,,1.000
Гриби білі (без обробки),,,1.000
Гриби печериці (без обробки),,,1.000
Інжир (без обробки),,,1.000
Редиска (без обробки),,,1.000
Помідори (без обробки),,,1.000
Перець солодкий (без обробки),,,1.000
Перець гострий (без обробки),,,1.000
Часник (без обробки),,,1.000
Петрушка (без обробки),,,1.000
Кріп (без обробки),,,1.000
Оселедець (без обробки),,,1.000
Сардина в олії (консерва),,,1.000
Сардина в томаті (консерва),,,1.000
,,,
,,,
,,,
,,,
,,,
Source: http://www.delishis.ru/biblio/content/Masso/Masso_1200.html,,,
Source: http://www.zpzr.ru/library/147/430/4484.html,,,