ukrstat_name_part,prep,usda_id,usda_description
"Рис",raw,20450,"Rice, white, medium-grain, raw, unenriched"
"Рис",boiled,20451,"Rice, white, medium-grain, cooked, unenriched "
"Хліб пшеничний",raw,18064,"Bread, wheat"
"Хліб житній",raw,18060,"Bread, rye"
"Яловичина",raw,23656,"Beef, flank, steak, separable lean only"
"Яловичина",boiled,13066,"Beef, flank, steak, separable lean and fat, trimmed to 0 fat, choice, cooked, braised"
"Яловичина",roasted,13067,"Beef, flank, steak, separable lean and fat, trimmed to 0 fat, choice, cooked, broiled"
"Свинина",raw,10010,"Pork, fresh, leg (ham), whole, separable lean"
"Свинина",boiled,10956,"Pork, loin, leg cap steak, boneless, separable lean and fat, cooked, broiled"
"Свинина",roasted,10010,"Pork, fresh, leg (ham), whole, separable lean and fat, cooked, roasted"
"Птиця",raw,05005,"Chicken, broilers or fryers, meat and skin and giblets and neck, raw"
"Птиця",boiled,5006,"Chicken, broilers or fryers, meat and skin and giblets and neck, stewed"
"Птиця",roasted,05004,"Chicken, broilers or fryers, meat and skin and giblets and neck, roasted"
"Сало",raw,10006,"Pork, fresh, separable fat, raw"
"Сало",roasted,10007,"Pork, fresh, separable fat, cooked"
"Борошно пшеничне",raw,20481,"Wheat flour, white, all-purpose, unenriched"
"Макаронні вироби",raw,20420,"Pasta, dry, unenriched"
"Макаронні вироби",boiled,20421,"Pasta, cooked, unenriched, without added salt"
"Крупи гречані",raw,20008,"Buckwheat"
"Крупи гречані",boiled,20010,"Buckwheat groats, roasted, cooked"
"Ковбаси",raw,7065,"Pork and beef sausage, fresh, cooked"
"Молоко",raw,1174,"Milk, reduced fat, fluid, 2% milkfat"
"Сметана",raw,1049,"Cream, fluid, half and half"
"Масло вершкове",raw,1145,"Butter, without salt"
"Сир м'який",raw,1012,"Cheese, cottage, creamed, large or small curd"
"Цукор",raw,19335,"Sugars, granulated"
"Олія соняшникова",raw,4545,"Oil, sunflower, linoleic"
"Яйця",raw,1123,"Egg, whole, raw, fresh"
"Яйця",boiled,01129,"Egg, whole, cooked, hard-boiled"
"Яйця",roasted,01128,"Egg, whole, cooked, fried"
"Картопля",raw,11352,"Potatoes, flesh and skin, raw"
"Картопля",boiled,11365,"Potatoes, boiled, cooked in skin, flesh, without salt"
"Картопля",roasted,11674,"Potatoes, baked, flesh and skin, without salt"
"Капуста",raw,11109,"Cabbage, raw"
"Капуста",boiled,11110,"Cabbage, cooked, boiled, drained, without salt"
"Морква",raw,11124,"Carrots, raw"
"Морква",boiled,11125,"Carrots, cooked, boiled, drained, without salt"
"Буряк",raw,11080,"Beets, raw"
"Буряк",boiled,11081,"Beets, cooked, boiled, drained"
"Цибуля",raw,11282,"Onions, raw"
"Цибуля",boiled,11283,"Onions, cooked, boiled, drained, without salt"