eng_name,Rice (raw),Wheat bread (raw),Rye bread (raw),Beef (boiled),Beef (roasted),Pork (boiled),Pork (roasted),Chicken (boiled),Chicken (roasted),Salo (raw),Salo (roasted),Wheat flour (raw),Pasta (raw),Buckwheat (boiled),Pork/beef sausage (raw),Milk (raw),Cream (raw),Butter (raw),Cottage cheese (raw),Sugars (raw),Sunflower oil (raw),Eggs (boiled),Eggs (roasted),Potatoes (boiled),Potatoes (roasted),Cabbage (raw),Cabbage (boiled),Carrots (raw),Carrots (boiled),Beets (raw),Beets (boiled),Onions (raw),Onions (boiled),Salt (raw),Oranges (raw),Green beans (raw),Sunflower seeds (raw),Pumpkin seeds (raw),Walnuts (raw),Oatmeal (raw),Figs (raw),Radishes (raw),Tomatoes (raw),Sweet peppers (raw),Hot peppers (raw),Garlic (raw),Parsley (raw),Dill weed (raw),Herring (raw),Sardine (oil) (canned),Sardine (tomato sauce) (canned)
Vitamin A,0,0,0,0,0,0,20,410,1910,260,240,0,0,0,0,280,970,6840,370,0,0,1490,2190,0,10,50,40,8350,8520,20,20,0,0,0,130,350,30,30,10,0,0,0,420,1570,480,0,4210,3860,580,320,340
Vitamin C,0,2,4,0,0,0,9,16,5,0,0,0,0,0,0,2,9,0,0,0,0,0,0,130,96,366,375,59,36,49,36,74,52,0,710,122,14,3,13,0,12,148,137,1277,1437,312,1330,850,39,0,10
Vitamin D,0,0,0,0,0,0,6,2,0,17,18,0,0,0,7,0,0,0,1,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,48,48
Vitamin E,0,1.9,3.3,6.9,3.9,1,1.7,3,3.3,4.2,0,0.6,1.1,0.9,2.2,0.3,2.5,23.2,0.8,0,410.8,10.3,13.1,0.1,0.4,1.5,1.4,6.6,10.3,0.4,0.4,0.2,0.2,0,0,4.1,351.7,0,7,4.7,3.5,0,5.4,15.8,6.9,0.8,7.5,0,35.5,20.4,13.8
Vitamin K,0,56,12,25,14,0,0,15,24,0,0,3,1,19,16,2,13,70,0,0,54,3,57,22,20,760,1087,132,137,2,2,4,5,0,0,430,0,0,27,0,156,13,79,49,140,17,16400,0,5,26,4
Vitamin B1,0.7,4.15,4.34,1.4,0.69,4.81,8.75,0.6,0.63,1.6,2.1,1.2,0.9,0.4,3.57,0.39,0.3,0.05,0.27,0,0,0.66,0.44,1.06,0.64,0.61,0.61,0.66,0.66,0.31,0.27,0.46,0.42,0,1,0.82,14.8,0.34,3.41,7.3,0.85,0.12,0.37,0.54,0.72,2,0.86,0.58,2.07,0.8,0.44
Vitamin B2,0.48,2.53,3.35,1.8,1.21,3.87,2.28,1.2,2.24,0.9,2,0.4,0.6,0.39,1.47,1.85,1.94,0.34,1.63,0.19,0,5.13,4.95,0.2,0.48,0.4,0.38,0.58,0.44,0.4,0.4,0.27,0.23,0,0.5,1.04,3.55,0.52,1.5,1.4,0.82,0.39,0.19,0.85,0.86,1.1,0.98,2.96,1.55,2.27,2.33
Vitamin B3,16,56.2,38.05,44.2,74.71,82.05,53.38,68.01,79.08,26.3,31.2,12.5,17,9.4,33.67,0.92,1.09,0.42,0.99,0,0,0.64,0.82,14.39,14.1,2.34,2.48,9.83,6.45,3.34,3.31,1.16,1.65,0,5,7.34,83.35,2.86,11.25,7.8,6.19,2.54,5.94,9.79,12.44,7,13.13,15.7,86.72,52.45,42
Vitamin B6,1.45,1.11,0.75,3.5,5.49,4.3,5,3.5,3.8,1.43,1.92,0.44,1.42,0.77,0.5,0.38,0.5,0.03,0.46,0,0,1.21,1.84,2.99,3.11,1.24,1.12,1.38,1.53,0.67,0.67,1.2,1.29,0,0.93,1.41,13.45,0.37,5.37,1.2,1.06,0.71,0.8,2.91,5.06,12.35,0.9,1.85,6.36,1.67,1.23
Vitamin B9,90,990,1510,90,90,10,90,60,290,0,0,260,180,140,20,50,30,30,120,0,0,440,510,100,280,430,300,190,140,1090,800,190,150,0,300,330,2270,90,980,0,90,250,150,460,230,30,1520,1500,260,100,240
Vitamin B12,0,0,0,33,18.2,6.9,7.1,3.1,9.4,6.7,5.4,0,0,0,4.3,5.3,1.9,1.7,4.3,0,0,11.1,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.3,89.4,90
Vitamin B5,13.42,0,4.4,3.7,5.42,7.72,8.05,9.1,11.28,4.3,5.1,4.38,4.31,3.59,4.8,3.56,5.39,1.1,5.57,0,0,13.98,16.6,5.2,3.76,2.12,1.74,2.73,2.32,1.55,1.45,1.23,1.13,0,3.3,2.25,11.3,0.56,5.7,0,4.34,1.65,0.89,3.17,2.01,5.96,4,3.97,15.47,6.42,7.3
Vitamin B4,0,187,146,0,1049,884,723,597,733,310,329,104,0,201,588,164,187,188,184,0,0,2938,3171,135,148,107,203,88,88,60,63,61,68,0,0,153,551,0,392,0,158,65,67,56,109,232,128,0,785,750,760
Calcium,90,1330,730,60,180,70,60,110,150,140,220,150,210,70,100,1200,1070,240,830,10,0,500,620,50,150,400,480,330,300,160,160,230,220,240,700,370,780,550,980,520,1620,250,100,70,140,1810,1380,2080,90,3820,2400
Copper,1.1,1.59,1.86,1.19,0.88,0.73,0.75,0.48,0.8,0.67,0.9,1.44,2.89,1.46,0.4,0.06,0.09,0.16,0.29,0.07,0,0.13,0.78,1.88,1.18,0.19,0.17,0.45,0.17,0.75,0.74,0.39,0.67,0.3,0.57,0.69,18,6.9,15.86,0,2.87,0.5,0.59,0.17,1.29,2.99,1.49,1.46,0.45,1.86,2.72
Iodine,5,629,480,7,154,6,8,11,11,8,8,30,100,7,21,228,150,88,153,5,0,473,621,4,7,5,4,5,5,5,5,5,5,199,3,5,5,5,5,43,5,5,3,5,5,8,66,66,280,104,250
Iron,8,34.9,28.3,33.3,18,9.7,10.1,9,16.6,2.6,4.6,11.7,13,8,11.3,0.2,0.5,0.2,0.7,0.5,0,11.9,18.9,3.1,10.8,4.7,1.7,3,3.4,8,7.9,2.1,2.4,3.3,8,10.3,52.5,33.1,29.1,42,20.3,3.4,2.7,4.3,10.3,17,62,65.9,3.4,29.2,23
Magnesium,350,450,400,230,220,230,250,200,230,60,90,220,530,510,120,110,100,20,80,0,0,100,130,220,280,120,150,120,100,230,230,100,110,10,140,250,3250,2620,1580,1480,680,100,110,120,230,250,500,550,270,390,340
Manganese,11,11.77,8.24,0.18,0.09,0.1,0.29,0.19,0.31,0,0.03,6.82,9.17,4.03,0.37,0.14,0.05,0.04,0.02,0.04,0,0.26,0.3,1.38,2.19,1.6,2.05,1.43,1.55,3.29,3.26,1.29,1.53,1,0,2.16,19.5,4.96,34.14,0,5.1,0.69,1.14,1.12,1.87,16.72,1.6,12.64,0.11,1.08,2.06
Phosphorus,1080,1490,1250,2560,2010,2210,2290,1470,1820,840,1090,1080,1890,700,1070,920,950,240,1590,0,0,1720,2150,440,700,260,330,350,300,400,380,290,350,0,220,380,6600,920,3460,4740,670,200,240,260,430,1530,580,660,2400,4900,3660
Selenium,0,288,309,304,289,321,354,144,159,90,115,339,632,22,144,25,32,10,97,6,0,308,331,3,4,3,6,1,7,7,7,5,6,1,7,6,530,0,49,0,6,6,0,1,5,142,1,0,240,527,406
Zinc,11.6,11.9,11.4,57.7,47.9,41.1,22.7,13.1,21.6,6,7.5,7,14.1,6.1,18.7,4.8,3.9,0.9,4,0.1,0,10.5,13.9,3,3.6,1.8,2,2.4,2,3.5,3.5,1.7,2.1,1,1.1,2.4,50,103,30.9,30.7,5.5,2.8,1.7,2.5,2.6,11.6,10.7,9.1,3.6,13.1,14
Potassium,860,1770,1660,3370,3260,3660,3690,1890,2120,3330,1250,1070,2230,880,1890,1400,1320,240,1040,20,0,1260,1520,3790,5350,1700,1960,3200,2350,3250,3050,1460,1660,80,1960,2110,6450,9190,4410,3500,6800,2330,2370,2110,3220,4010,5540,7380,3630,3970,3410
Sodium,10,5080,6030,700,530,760,550,700,790,470,560,20,60,40,9290,470,610,110,3640,10,0,1240,2070,40,100,180,80,690,580,780,770,40,30,387580,20,60,90,180,20,40,100,390,50,40,90,170,560,610,590,3070,4140
Carbohydrate,793.4,486.8,483,0,0,0,0,0,0.6,0,0,763.1,746.7,199.4,27,48,47.3,0.6,33.8,999.8,0,11.2,8.3,201.3,211.5,58,55.1,95.8,82.2,95.6,99.6,93.4,101.5,0,155,69.7,200,537.5,137.1,670,638.7,34,38.9,60.3,88.1,330.6,63.3,70.2,0,0,5.4
Fibers,0,40,58,0,0,0,0,0,0,0,0,27,32,27,0,0,0,0,0,0,0,0,0,18,22,25,19,28,30,28,20,17,14,0,45,27,86,184,67,98,98,16,12,21,15,21,33,21,0,0,1
Fats,5.8,32.4,33,164.4,93.1,44.1,54.1,150.6,132.7,657,661,9.8,15.1,6.2,362.5,19.8,103.9,811.1,43,0,1000,106.1,148.4,1,1.3,1,0.6,2.4,1.8,1.7,1.8,1,1.9,0,3,2.2,514.6,194,652.1,63,9.3,1,2,3,4.4,5,7.9,11.2,134.2,114.5,104.5
Omega-3,0.3,0.7,1,0.6,1.1,0.1,0.1,0.7,0.7,5.1,5.8,0.3,0.3,0.1,1,0.1,1.7,3.8,0.7,0,2.9,0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,1.9,62.8,0.9,0,0,0,0,5.2,1.3,0,0.1,0,8.9,2
Omega-6,1.1,6,8.5,2.1,6.3,2.8,3.4,7,7,72.1,81.7,5,5.4,1.6,13.1,0.2,3.8,10,1.9,0,594.6,10.8,10.9,0,0,0,0,0,0,0,0,0,0,0,0,1.2,345.2,221.3,433.3,29,3,0,0,0,73.6,11,0,0.8,2.1,75.5,10.4
Proteins,66.1,107.2,85,269.8,275.5,275.7,204.8,186,267.8,92.5,70.6,103.3,130.4,33.8,138,33,31.3,8.5,111.2,0,0,125.8,136.1,18.7,25,12.8,12.7,9.3,7.6,16.1,16.8,11,13.6,0,13,18.3,207.8,185.5,152.3,160,33,6.8,8.8,9.9,18.7,63.6,29.7,34.6,204.2,246.2,208.6
Energy,3600,2670,2590,2630,2020,1580,1360,2150,2340,6320,6260,3640,3710,920,3960,500,1230,7170,980,3870,8840,1550,1960,870,930,250,230,410,350,430,440,400,440,0,630,310,5840,4460,6540,3670,2490,160,180,310,400,1490,360,430,2080,2080,1850